Time,Curr Win %,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-04-14 00:00:00,0.4857142857142857,23079.0,Chicago Bulls,Cleveland Cavaliers,0.0,3.0,Wednesday,April,22102.0
1999-04-14 00:00:00,0.5,20930.0,Philadelphia 76ers,Toronto Raptors,0.0,1.0,Wednesday,April,17474.0
1999-04-14 00:00:00,0.35294117647058826,20674.0,Washington Wizards,New York Knicks,0.0,2.0,Wednesday,April,17428.0
1999-04-16 00:00:00,0.6571428571428571,18624.0,Boston Celtics,Miami Heat,0.0,3.0,Friday,April,18624.0
1999-04-16 00:00:00,0.3714285714285713,20674.0,Washington Wizards,Chicago Bulls,0.0,3.0,Friday,April,14248.0
1999-04-16 00:00:00,0.4444444444444444,19023.0,Phoenix Suns,Dallas Mavericks,0.0,3.0,Friday,April,18623.0
1999-04-16 00:00:00,0.5142857142857142,20930.0,Philadelphia 76ers,Indiana Pacers,0.0,3.0,Friday,April,20665.0
1999-04-17 00:00:00,0.4864864864864865,20562.0,Cleveland Cavaliers,Charlotte Hornets,0.0,3.0,Saturday,April,15357.0
1999-04-17 00:00:00,0.8181818181818182,19911.0,Utah Jazz,Los Angeles Lakers,0.0,5.0,Saturday,April,19911.0
1999-04-18 00:00:00,0.5142857142857142,23079.0,Chicago Bulls,Milwaukee Bucks,0.0,2.0,Sunday,April,22296.0
1999-04-18 00:00:00,0.8235294117647058,19006.0,Minnesota Timberwolves,Utah Jazz,0.0,5.0,Sunday,April,17472.0
1999-04-18 00:00:00,0.3611111111111111,20674.0,Washington Wizards,Boston Celtics,0.0,3.0,Sunday,April,14964.0
1999-04-19 00:00:00,0.5277777777777778,20930.0,Philadelphia 76ers,New York Knicks,0.0,3.0,Monday,April,18049.0
1999-04-19 00:00:00,0.6052631578947368,18624.0,Boston Celtics,Indiana Pacers,0.0,3.0,Monday,April,18352.0
1999-04-19 00:00:00,0.6756756756756757,20562.0,Cleveland Cavaliers,Miami Heat,0.0,3.0,Monday,April,13111.0
1999-04-20 00:00:00,0.35135135135135137,23079.0,Chicago Bulls,Washington Wizards,0.0,2.0,Tuesday,April,22102.0
1999-04-20 00:00:00,0.8,19911.0,Utah Jazz,San Antonio Spurs,0.0,4.0,Tuesday,April,19911.0
1999-04-21 00:00:00,0.5405405405405406,18624.0,Boston Celtics,Philadelphia 76ers,0.0,4.0,Wednesday,April,18287.0
1999-04-21 00:00:00,0.34210526315789475,20674.0,Washington Wizards,Toronto Raptors,0.0,2.0,Wednesday,April,12214.0
1999-04-21 00:00:00,0.7575757575757576,20735.0,Portland Trail Blazers,Los Angeles Lakers,0.0,3.0,Wednesday,April,20713.0
1999-04-21 00:00:00,0.7777777777777778,19023.0,Phoenix Suns,Utah Jazz,0.0,3.0,Wednesday,April,19023.0
1999-04-23 00:00:00,0.21052631578947367,23079.0,Chicago Bulls,Boston Celtics,0.0,2.0,Friday,April,22969.0
1999-04-23 00:00:00,0.7837837837837838,19911.0,Utah Jazz,Portland Trail Blazers,0.0,3.0,Friday,April,19911.0
1999-04-23 00:00:00,0.3333333333333333,20674.0,Washington Wizards,Atlanta Hawks,0.0,1.0,Friday,April,16941.0
1999-04-25 00:00:00,0.7428571428571429,20735.0,Portland Trail Blazers,Minnesota Timberwolves,0.0,3.0,Sunday,April,20437.0
1999-04-25 00:00:00,0.4615384615384616,19023.0,Phoenix Suns,Houston Rockets,0.0,3.0,Sunday,April,19023.0
1999-04-25 00:00:00,0.325,18624.0,Boston Celtics,Washington Wizards,0.0,0.0,Sunday,April,17211.0
1999-04-25 00:00:00,0.5641025641025641,20930.0,Philadelphia 76ers,Orlando Magic,0.0,5.0,Sunday,April,20522.0
1999-04-26 00:00:00,0.7631578947368421,19911.0,Utah Jazz,Phoenix Suns,0.0,2.0,Monday,April,19911.0
1999-04-26 00:00:00,0.75,20735.0,Portland Trail Blazers,Denver Nuggets,0.0,4.0,Monday,April,19476.0
1999-04-26 00:00:00,0.6829268292682927,20562.0,Cleveland Cavaliers,Miami Heat,0.0,4.0,Monday,April,13857.0
1999-04-27 00:00:00,0.5476190476190477,18624.0,Boston Celtics,Detroit Pistons,0.0,2.0,Tuesday,April,16408.0
1999-04-27 00:00:00,0.575,20930.0,Philadelphia 76ers,Cleveland Cavaliers,0.0,5.0,Tuesday,April,17822.0
1999-04-28 00:00:00,0.4634146341463415,19006.0,Minnesota Timberwolves,Phoenix Suns,0.0,3.0,Wednesday,April,16771.0
1999-04-29 00:00:00,0.32558139534883723,20674.0,Washington Wizards,Cleveland Cavaliers,0.0,1.0,Thursday,April,12751.0
1999-04-29 00:00:00,0.7692307692307693,19911.0,Utah Jazz,Golden State Warriors,0.0,2.0,Thursday,April,19911.0
1999-04-30 00:00:00,0.4736842105263158,20562.0,Cleveland Cavaliers,Toronto Raptors,0.0,1.0,Friday,April,13958.0
1999-04-30 00:00:00,0.475,19006.0,Minnesota Timberwolves,Golden State Warriors,0.0,2.0,Friday,April,18157.0
1999-05-01 00:00:00,0.4615384615384616,20930.0,Philadelphia 76ers,Toronto Raptors,0.0,0.0,Saturday,May,20550.0
1999-05-01 00:00:00,0.5476190476190477,18624.0,Boston Celtics,Milwaukee Bucks,0.0,4.0,Saturday,May,18089.0
1999-05-01 00:00:00,0.4878048780487805,19006.0,Minnesota Timberwolves,Los Angeles Clippers,0.0,3.0,Saturday,May,17203.0
1999-05-02 00:00:00,0.4222222222222222,20562.0,Cleveland Cavaliers,Atlanta Hawks,0.0,1.0,Sunday,May,12690.0
1999-05-03 00:00:00,0.5777777777777777,23079.0,Chicago Bulls,Detroit Pistons,0.0,5.0,Monday,May,22306.0
1999-05-04 00:00:00,0.7209302325581395,20735.0,Portland Trail Blazers,San Antonio Spurs,0.0,4.0,Tuesday,May,20715.0
1999-05-04 00:00:00,0.7619047619047619,19911.0,Utah Jazz,Los Angeles Clippers,0.0,3.0,Tuesday,May,19911.0
1999-05-05 00:00:00,0.5555555555555556,20930.0,Philadelphia 76ers,Detroit Pistons,0.0,2.0,Wednesday,May,20192.0
