,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 3 Lasso with Standardized Features TimeSeriesSplit,0.5523923976411058,0.5524095984867663,990.0045664483291,1339.0194668153524,5.835732034223126
Dataset 3 Elastic Net TimeSeriesSplit,0.4400178533259763,0.4597012525951971,848.391385900365,1497.7014640726675,5.3119089141502736
Dataset 3 Elastic Net with Standardized Features TimeSeriesSplit,0.538413362945804,0.5431891859033025,902.3397222057635,1359.76787796644,5.41783594289298
Dataset 3 Huber TimeSeriesSplit,0.4822107846068149,0.48833905351848217,1023.3616854635844,1440.1729983277353,6.152826279199907
Dataset 3 Huber with Standardized Features TimeSeriesSplit,0.563089941098178,0.5630916483194878,986.4270147211283,1322.9218378956807,5.77116221618356
Dataset 3 Subset 1 OLS,-5170602177998.871,-4923238093670.246,995421452.1557852,4551019812.663104,5840378.000405688
Dataset 3 Subset 1 OLS with Standardized Features,-1.925433656190316e+20,-1.8303341122561763e+20,6172020799841.64,27771698596904.055,36360792968.52374
Dataset 3 Subset 1 Ridge,0.38671090338223024,0.389165700216648,1171.4102186821233,1567.367313644259,6.824302568193461
Dataset 3 Subset 1 Ridge with Standardized Features,0.39304910484150546,0.39381919561791556,1162.7248414044152,1559.2470890280877,6.742814885639814
Dataset 3 Subset 1 Lasso,0.09431154643345052,0.09454839888106759,1471.928861525532,1904.7043749010552,8.764986070489506
Dataset 3 Subset 1 Lasso with Standardized Features,0.39609729065012056,0.39712315070360815,1157.9044583489149,1555.3267906098488,6.722999344722726
Dataset 3 Subset 1 Elastic Net,0.09431154643345052,0.09454839888106759,1471.928861525532,1904.7043749010552,8.764986070489506
Dataset 3 Subset 1 Elastic Net with Standardized Features,0.39609729065012056,0.39712315070360815,1157.9044583489149,1555.3267906098488,6.722999344722726
Dataset 3 Subset 1 Huber,-3.9938647204512874,-3.880606320582424,2655.115969765601,4472.56386350693,15.230158340011918
Dataset 3 Subset 1 Huber with Standardized Features,0.38033328414876455,0.3886805947507216,1102.4543156873556,1575.4957956578185,6.5552128841102615
Dataset 3 Subset 1 LinearSVR,-5.027930835040625,-4.752123666195752,2720.55325965586,4913.854514286592,15.673883101182518
Dataset 3 Subset 1 LinearSVR with Standardized Features,0.39888267789352305,0.4006277700816123,1157.9731565136228,1551.7358195500672,6.708265500202734
Dataset 3 Subset 1 Ridge TimeSeriesSplit,0.09431154643345052,0.09454839888106759,1471.928861525532,1904.7043749010552,8.764986070489506
Dataset 3 Subset 1 Ridge with Standardized Features TimeSeriesSplit,0.39609729065012056,0.39712315070360815,1157.9044583489149,1555.3267906098488,6.722999344722726
Dataset 3 Subset 1 Lasso TimeSeriesSplit,0.09431154643345052,0.09454839888106759,1471.928861525532,1904.7043749010552,8.764986070489506
Dataset 3 Subset 1 Lasso with Standardized Features TimeSeriesSplit,0.39609729065012056,0.39712315070360815,1157.9044583489149,1555.3267906098488,6.722999344722726
Dataset 3 Subset 1 Elastic Net TimeSeriesSplit,-3.9334462058908555,-3.8147334455936877,2627.7657130152948,4445.4257653956965,15.080745045931804
Dataset 3 Subset 1 Elastic Net with Standardized Features TimeSeriesSplit,0.362145568354586,0.37469284551681603,1104.2130116449182,1598.4496189155004,6.592636949629803
Dataset 3 Subset 1 Huber TimeSeriesSplit,-5.027930835040625,-4.752123666195752,2720.55325965586,4913.854514286592,15.673883101182518
Dataset 3 Subset 1 Huber with Standardized Features TimeSeriesSplit,0.39888267789352305,0.4006277700816123,1157.9731565136228,1551.7358195500672,6.708265500202734
Dataset 3 Subset 2 OLS,0.552777523895106,0.5570550124628786,999.5652969344226,1338.4432896873109,5.842581447944872
Dataset 3 Subset 2 OLS with Standardized Features,-3.491739275183271e+20,-3.37007854332838e+20,6980931494283.21,37398920589856.73,41946592360.48239
Dataset 3 Subset 2 Ridge,0.5527776022840805,0.5570551014169118,999.5651887495342,1338.443172386407,5.842580886870323
Dataset 3 Subset 2 Ridge with Standardized Features,0.5489613027499081,0.5493552284718439,995.2759477068475,1344.141734745646,5.842863246982826
Dataset 3 Subset 2 Lasso,0.4825728951149142,0.4881281557718946,1024.2470119856077,1439.669325241007,6.161809031753989
Dataset 3 Subset 2 Lasso with Standardized Features,0.5475790240254268,0.5475901723087158,992.7642876500639,1346.1998255419915,5.858662196987658
Dataset 3 Subset 2 Elastic Net,0.4826215773563237,0.48813243510305937,1024.2482566474048,1439.6015978475452,6.161926048729003
